Stem Length,Leaf Count,Leaf Width,Leaf Length,Stem Thickness,Growth Stage
23.0,8.0,9.8,12.0,2.5,2.0
23.0,8.0,9.8,12.0,2.5,2.0
23.0,8.0,9.8,12.0,2.5,2.0
23.0,8.0,9.8,12.0,2.5,2.0
23.0,8.0,9.8,12.0,2.5,2.0
23.0,8.0,9.8,12.0,2.5,2.0
23.0,8.0,9.8,12.0,2.5,2.0
23.0,8.0,9.8,12.0,2.5,2.0
23.0,8.0,9.8,12.0,2.5,2.0
23.0,8.0,9.8,12.0,2.5,2.0
23.0,8.0,9.8,12.0,2.5,2.0
23.0,8.0,9.8,12.0,2.5,2.0
23.0,8.0,9.8,12.0,2.5,2.0
23.0,8.0,9.8,12.0,2.5,2.0
23.0,8.0,9.8,12.0,2.5,2.0
23.0,8.0,9.8,12.0,2.5,2.0
23.0,8.0,9.8,12.0,2.5,2.0
23.0,8.0,9.8,12.0,2.5,2.0
23.0,8.0,9.8,12.0,2.5,2.0
23.0,8.0,9.8,12.0,2.5,2.0
23.0,8.0,9.8,12.0,2.5,2.0
23.0,8.0,9.8,12.0,2.5,2.0
24.0,8.0,10.0,12.2,2.5,2.0
24.0,8.0,10.0,12.2,2.5,2.0
24.0,8.0,10.0,12.2,2.5,2.0
24.0,8.0,10.0,12.2,2.5,2.0
24.0,8.0,10.0,12.2,2.5,2.0
24.0,8.0,10.0,12.2,2.5,2.0
24.0,8.0,10.0,12.2,2.5,2.0
24.0,8.0,10.0,12.2,2.5,2.0
24.0,8.0,10.0,12.2,2.5,2.0
24.0,8.0,10.0,12.2,2.5,2.0
24.0,8.0,10.0,12.2,2.5,2.0
24.0,8.0,10.0,12.2,2.5,2.0
24.0,8.0,10.0,12.2,2.5,2.0
24.0,8.0,10.0,12.2,2.5,2.0
24.0,8.0,10.0,12.2,2.5,2.0
24.0,8.0,10.0,12.2,2.5,2.0
24.0,8.0,10.0,12.2,2.5,2.0
24.0,8.0,10.0,12.2,2.5,2.0
24.0,8.0,10.0,12.2,2.5,2.0
24.0,8.0,10.0,12.2,2.5,2.0
24.0,8.0,10.0,12.2,2.5,2.0
24.0,8.0,10.0,12.2,2.5,2.0
24.0,8.0,10.0,12.2,2.5,2.0
24.0,8.0,10.0,12.2,2.5,2.0
24.0,8.0,10.0,12.2,2.5,2.0
24.0,8.0,10.0,12.2,2.5,2.0
24.0,8.0,10.0,12.2,2.5,2.0
24.0,8.0,10.0,12.2,2.5,2.0
24.0,8.0,10.0,12.2,2.5,2.0
24.0,8.0,10.0,12.2,2.5,2.0
24.0,8.0,10.0,12.2,2.5,2.0
24.0,8.0,10.0,12.2,2.5,2.0
24.0,8.0,10.0,12.2,2.5,2.0
24.0,8.0,10.0,12.2,2.5,2.0
24.0,8.0,10.0,12.2,2.5,2.0
24.0,8.0,10.0,12.2,2.5,2.0
24.0,8.0,10.0,12.2,2.5,2.0
24.0,8.0,10.0,12.2,2.5,2.0
24.0,8.0,10.0,12.2,2.5,2.0
24.0,8.0,10.0,12.2,2.5,2.0
24.0,8.0,10.0,12.2,2.5,2.0
24.0,8.0,10.0,12.2,2.5,2.0
24.0,8.0,10.0,12.2,2.5,2.0
24.0,8.0,10.0,12.2,2.5,2.0
24.0,8.0,10.0,12.2,2.5,2.0
24.0,8.0,10.0,12.2,2.5,2.0
24.0,8.0,10.0,12.2,2.5,2.0
24.0,8.0,10.0,12.2,2.5,2.0
24.0,8.0,10.0,12.2,2.5,2.0
24.0,8.0,10.0,12.2,2.5,2.0
24.0,8.0,10.0,12.2,2.5,2.0
24.0,8.0,10.0,12.2,2.5,2.0
24.2,8.0,10.0,12.5,2.6,2.0
24.2,8.0,10.0,12.5,2.6,2.0
24.2,8.0,10.0,12.5,2.6,2.0
24.2,8.0,10.0,12.5,2.6,2.0
24.2,8.0,10.0,12.5,2.6,2.0
24.2,8.0,10.0,12.5,2.6,2.0
24.2,8.0,10.0,12.5,2.6,2.0
24.2,8.0,10.0,12.5,2.6,2.0
24.2,8.0,10.0,12.5,2.6,2.0
24.2,8.0,10.0,12.5,2.6,2.0
24.2,8.0,10.0,12.5,2.6,2.0
24.2,8.0,10.0,12.5,2.6,2.0
24.2,8.0,10.0,12.5,2.6,2.0
24.2,8.0,10.0,12.5,2.6,2.0
24.2,8.0,10.0,12.5,2.6,2.0
24.2,8.0,10.0,12.5,2.6,2.0
24.2,8.0,10.0,12.5,2.6,2.0
24.2,8.0,10.0,12.5,2.6,2.0
24.2,8.0,10.0,12.5,2.6,2.0
24.2,8.0,10.0,12.5,2.6,2.0
24.2,8.0,10.0,12.5,2.6,2.0
24.2,8.0,10.0,12.5,2.6,2.0
24.2,8.0,10.0,12.5,2.6,2.0
24.2,8.0,10.0,12.5,2.6,2.0
24.2,8.0,10.0,12.5,2.6,2.0
24.2,8.0,10.0,12.5,2.6,2.0
24.2,8.0,10.0,12.5,2.6,2.0
24.2,8.0,10.0,12.5,2.6,2.0
24.2,8.0,10.0,12.5,2.6,2.0
24.2,8.0,10.0,12.5,2.6,2.0
24.2,8.0,10.0,12.5,2.6,2.0
24.2,8.0,10.0,12.5,2.6,2.0
24.2,8.0,10.0,12.5,2.6,2.0
24.2,8.0,10.0,12.5,2.6,2.0
24.2,8.0,10.0,12.5,2.6,2.0
24.2,8.0,10.0,12.5,2.6,2.0
24.2,8.0,10.0,12.5,2.6,2.0
24.2,8.0,10.0,12.5,2.6,2.0
24.2,8.0,10.0,12.5,2.6,2.0
24.2,8.0,10.0,12.5,2.6,2.0
24.2,8.0,10.0,12.5,2.6,2.0
24.2,8.0,10.0,12.5,2.6,2.0
24.2,8.0,10.0,12.5,2.6,2.0
24.2,8.0,10.0,12.5,2.6,2.0
24.2,8.0,10.0,12.5,2.6,2.0
24.2,8.0,10.0,12.5,2.6,2.0
24.2,8.0,10.0,12.5,2.6,2.0
24.2,8.0,10.0,12.5,2.6,2.0
24.2,8.0,10.0,12.5,2.6,2.0
24.2,8.0,10.0,12.5,2.6,2.0
24.2,8.0,10.0,12.5,2.6,2.0
24.2,8.0,10.0,12.5,2.6,2.0
24.2,8.0,10.0,12.5,2.6,2.0
24.2,8.0,10.0,12.5,2.6,2.0
24.2,8.0,10.0,12.5,2.6,2.0
24.2,8.0,10.0,12.5,2.6,2.0
24.2,8.0,10.2,12.6,2.7,2.0
24.2,8.0,10.2,12.6,2.7,2.0
24.2,8.0,10.2,12.6,2.7,2.0
24.2,8.0,10.2,12.6,2.7,2.0
24.2,8.0,10.2,12.6,2.7,2.0
24.2,8.0,10.2,12.6,2.7,2.0
24.2,8.0,10.2,12.6,2.7,2.0
24.2,8.0,10.2,12.6,2.7,2.0
24.2,8.0,10.2,12.6,2.7,2.0
24.2,8.0,10.2,12.6,2.7,2.0
24.2,8.0,10.2,12.6,2.7,2.0
24.2,8.0,10.2,12.6,2.7,2.0
24.2,8.0,10.2,12.6,2.7,2.0
24.2,8.0,10.2,12.6,2.7,2.0
24.2,8.0,10.2,12.6,2.7,2.0
24.2,8.0,10.2,12.6,2.7,2.0
24.2,8.0,10.2,12.6,2.7,2.0
24.2,8.0,10.2,12.6,2.7,2.0
24.2,8.0,10.2,12.6,2.7,2.0
24.2,8.0,10.2,12.6,2.7,2.0
24.2,8.0,10.2,12.6,2.7,2.0
24.2,8.0,10.2,12.6,2.7,2.0
24.2,8.0,10.2,12.6,2.7,2.0
24.2,8.0,10.2,12.6,2.7,2.0
24.2,8.0,10.2,12.6,2.7,2.0
24.2,8.0,10.2,12.6,2.7,2.0
24.2,8.0,10.2,12.6,2.7,2.0
24.2,8.0,10.2,12.6,2.7,2.0
24.2,8.0,10.2,12.6,2.7,2.0
24.2,8.0,10.2,12.6,2.7,2.0
24.2,8.0,10.2,12.6,2.7,2.0
20.0,6.0,8.0,10.0,1.6,2.0
20.0,6.0,8.0,10.0,1.6,2.0
20.0,6.0,8.0,10.0,1.6,2.0
20.0,6.0,8.0,10.0,1.6,2.0
20.0,6.0,8.0,10.0,1.6,2.0
